time,x,y,yaw
14571.888967244,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889347294,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889437405,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.88950325,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889550289,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889594492,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.8896352,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.88966733,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889702808,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889739096,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889773972,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889811914,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889875785,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889928876,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.889980033,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890033404,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890087537,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890150857,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890206191,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890256316,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890307523,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890360484,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890535375,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890600188,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890654381,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890749952,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890825896,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890881661,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890931075,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.890982342,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891031475,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891080227,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891128789,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891179365,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.89122947,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891280206,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891328868,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891375787,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891424009,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891563693,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891633696,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891672149,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891704891,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891736701,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891768581,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891797667,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891826311,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891856338,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891890913,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891922012,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891954363,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.891983889,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892013335,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.89204747,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892079751,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892134254,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892173429,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892205068,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892235797,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892285391,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892333211,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892379539,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892429514,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892465111,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892493385,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892523321,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892551224,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892582053,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892767664,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892817288,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892852205,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892883694,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892913541,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892942145,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892970819,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.892999323,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893027236,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893057263,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893084805,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893113289,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893140831,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893167702,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893195555,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893229379,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.89348337,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893540879,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893580294,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893615461,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.89364701,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893677298,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893707595,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893737893,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893770003,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893800491,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893830278,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.893865534,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894072346,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894143391,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894215608,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894291822,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894350173,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894417059,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894746754,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894789815,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894825774,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894858866,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894890967,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.894952834,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.901738971,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.903402403,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.905388916,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.906622333,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.908030441,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.909610424,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.911040974,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.914251437,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.922959525,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.924245441,-2.6877244922025003,2.009412038239153,-1.6303139661559456
14571.925256978,-2.6877259972742094,2.0093867723411223,-1.6302766536483162
14571.933496999,-2.6877259972742094,2.0093867723411223,-1.6302766536483162
14571.941317155,-2.6877259972742094,2.0093867723411223,-1.6302766536483162
14571.953660922,-2.6877259972742094,2.0093867723411223,-1.6302766536483162
14571.96123421,-2.6877259972742094,2.0093867723411223,-1.6302766536483162
14571.97133102,-2.6877259972742094,2.0093867723411223,-1.6302766536483162
14571.972738627,-2.6877244930593958,2.0094120382901832,-1.6302461360701905
14571.983587761,-2.6877244930593958,2.0094120382901832,-1.6302461360701905
14571.984305731,-2.6877244930593958,2.0094120382901832,-1.6302461360701905
14571.992183767,-2.6877244930593958,2.0094120382901832,-1.6302461360701905
14571.999238891,-2.6877244930593958,2.0094120382901832,-1.6302461360701905
14572.013729718,-2.6877244930593958,2.0094120382901832,-1.6302461360701905
14572.021476344,-2.6877244930593958,2.0094120382901832,-1.6302461360701905
14572.02986659,-2.6877244930593958,2.0094120382901832,-1.6302461360701905
14572.030383349,-2.6877244930593958,2.0094120382901832,-1.6246654723891603
14572.030962136,-2.6877244930593958,2.0094120382901832,-1.6246654723891603
14572.037264526,-2.6877244930593958,2.0094120382901832,-1.6246654723891603
14572.050219561,-2.6877244930593958,2.0094120382901832,-1.6246654723891603
14572.061649446,-2.6877244930593958,2.0094120382901832,-1.6246654723891603
14572.075810405,-2.6877244930593958,2.0094120382901832,-1.6246654723891603
14572.076373192,-2.6878194099136743,2.0075921423901675,-1.6211429570922247
14572.076903586,-2.6878194099136743,2.0075921423901675,-1.6211429570922247
14572.079715263,-2.6878194099136743,2.0075921423901675,-1.6211429570922247
14572.089518617,-2.6878194099136743,2.0075921423901675,-1.6211429570922247
14572.099935543,-2.6878194099136743,2.0075921423901675,-1.6211429570922247
14572.110212112,-2.6878194099136743,2.0075921423901675,-1.6211429570922247
14572.118946541,-2.6878194099136743,2.0075921423901675,-1.6211429570922247
14572.12384094,-2.6879788597444634,2.004432327096287,-1.6212876771697395
14572.12477502,-2.6879788597444634,2.004432327096287,-1.6212876771697395
14572.127953712,-2.6879788597444634,2.004432327096287,-1.6212876771697395
14572.139985851,-2.6879788597444634,2.004432327096287,-1.6212876771697395
14572.148639697,-2.6879788597444634,2.004432327096287,-1.6212876771697395
14572.159586737,-2.6879788597444634,2.004432327096287,-1.6212876771697395
14572.170917204,-2.6879788597444634,2.004432327096287,-1.6212876771697395
14572.175123362,-2.6882159549991758,1.999882577082173,-1.6244342063674324
14572.178226942,-2.6882159549991758,1.999882577082173,-1.6244342063674324
14572.181960797,-2.6882159549991758,1.999882577082173,-1.6244342063674324
14572.192844817,-2.6882159549991758,1.999882577082173,-1.6244342063674324
14572.19884735,-2.6882159549991758,1.999882577082173,-1.6244342063674324
14572.207231223,-2.6882159549991758,1.999882577082173,-1.6244342063674324
14572.221046919,-2.6882159549991758,1.999882577082173,-1.6244342063674324
14572.224998786,-2.688650096450487,1.992048284177009,-1.6278762553939217
14572.226652469,-2.688650096450487,1.992048284177009,-1.6278762553939217
